param_id,split,folds,total_n,mean_mae,std_mae,weighted_mae,mean_rmse,weighted_rmse,mean_mape,weighted_mape,mean_medae,mean_r2,num_leaves,min_child_samples,learning_rate,n_estimators,subsample,colsample_bytree,rank_by_selection_mae
13,valid,15,78933,9.697932310539278,0.5274582508609118,9.701378376937244,13.070838560034106,13.08945957003226,13.69032520689489,13.645969183386056,7.407543679146588,0.7231669798678314,127,10,0.03,1000,0.8,0.8,11
14,test,15,36429,9.950694064204246,0.5951959775862128,9.876479046959803,13.37101587209859,13.304245297608631,13.97332942352437,13.761691117069525,7.622120363661797,0.719851761532451,127,20,0.03,1000,0.8,0.8,8
14,train,15,562223,3.493135427872344,0.07823261156381892,3.49770034884231,4.597609060214979,4.603602334974827,5.622372755242736,5.65921359859825,2.7402920025880007,0.9613640240889185,127,20,0.03,1000,0.8,0.8,8
14,valid,15,78933,9.695444983911399,0.5234454723038754,9.697386457879837,13.070126609474691,13.086705920170113,13.664695498648937,13.622239315037358,7.437032808162643,0.7231740395812474,127,20,0.03,1000,0.8,0.8,8
15,test,15,36429,9.949823135506112,0.5866048827375578,9.883420424815622,13.374900385062615,13.306795475627494,13.96130622809838,13.758342560188524,7.696768030915191,0.7196786703759848,127,50,0.03,1000,0.8,0.8,7
15,train,15,562223,3.650584964152359,0.07213516264781536,3.654493803197309,4.816097755112106,4.8219696597359025,5.8465006233509,5.882523326594556,2.864154830378489,0.9576105785059682,127,50,0.03,1000,0.8,0.8,7
15,valid,15,78933,9.692366225882491,0.529785264488508,9.695925837648376,13.061266293251405,13.078527797645787,13.650355144299235,13.611851274730906,7.400753139785974,0.7235790199787242,127,50,0.03,1000,0.8,0.8,7
16,test,15,36429,9.988055094153017,0.5605041388695825,9.925096922333134,13.405867590854838,13.338562179015716,14.004902711353623,13.808435489837045,7.682711085985291,0.7183229594901775,127,100,0.03,1000,0.8,0.8,13
16,train,15,562223,3.9144143288110107,0.06080104478141741,3.915006711818716,5.178698019003822,5.180945584994949,6.220475663731727,6.252566256286572,3.063583867359219,0.9510626510675512,127,100,0.03,1000,0.8,0.8,13
16,valid,15,78933,9.722049428524977,0.5305072733325548,9.724304709964901,13.086848830681133,13.1026276495015,13.678905085824926,13.637595319714181,7.449834910825442,0.7225037022498823,127,100,0.03,1000,0.8,0.8,13
