id,trade_date,district,building_type,text_representation
RPUOMLTLJHOFFBA48CA,2019-01-02,萬華區,住宅大樓(11層含以上有電梯),"行政區：萬華區
建物型態：住宅大樓(11層含以上有電梯)
主要建材：鋼筋混凝土造
屋齡：41.34 年
建物坪數：5.58 坪
主建物坪數：4.48 坪
樓層：8 / 12
樓層比例：0.67
格局：1 房 0 廳 1 衛
車位：無
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPOVMLPLJHOFFCA28CA,2019-01-11,內湖區,套房(1房1廳1衛),"行政區：內湖區
建物型態：套房(1房1廳1衛)
主要建材：鋼筋混凝土造
屋齡：11.56 年
建物坪數：10.56 坪
主建物坪數：4.66 坪
樓層：10 / 12
樓層比例：0.83
格局：1 房 1 廳 1 衛
車位：無
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPPQMLLMJHOFFDA67CA,2019-01-12,南港區,華廈(10層含以下有電梯),"行政區：南港區
建物型態：華廈(10層含以下有電梯)
主要建材：鋼筋混凝土造
屋齡：11.35 年
建物坪數：26.60 坪
主建物坪數：17.26 坪
樓層：3 / 7
樓層比例：0.43
格局：2 房 1 廳 1 衛
車位：無
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPXOMLOLJHOFFEA58CA,2019-01-02,士林區,公寓(5樓含以下無電梯),"行政區：士林區
建物型態：公寓(5樓含以下無電梯)
主要建材：鋼筋混凝土造
屋齡：44.12 年
建物坪數：19.10 坪
主建物坪數：19.10 坪
樓層：1 / 4
樓層比例：0.25
格局：1 房 1 廳 2 衛
車位：無
車位面積：0.00
管理組織：無
電梯：缺失
房屋狀態備註標記：1
裝潢標記：0
廣泛備註標記：0"
RPVPMLMLJHOFFDA18CA,2019-01-03,松山區,住宅大樓(11層含以上有電梯),"行政區：松山區
建物型態：住宅大樓(11層含以上有電梯)
主要建材：鋼筋混凝土造
屋齡：10.91 年
建物坪數：11.65 坪
主建物坪數：6.22 坪
樓層：8 / 14
樓層比例：0.57
格局：1 房 1 廳 1 衛
車位：無
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPUPMLKMJHOFFCA87CA,2019-01-04,中山區,套房(1房1廳1衛),"行政區：中山區
建物型態：套房(1房1廳1衛)
主要建材：鋼筋混凝土造
屋齡：40.37 年
建物坪數：9.30 坪
主建物坪數：6.23 坪
樓層：9 / 12
樓層比例：0.75
格局：1 房 0 廳 1 衛
車位：無
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPSNMLQLJHOFFEA28DA,2019-01-06,士林區,公寓(5樓含以下無電梯),"行政區：士林區
建物型態：公寓(5樓含以下無電梯)
主要建材：壁式預鑄鋼筋混凝土造
屋齡：39.91 年
建物坪數：31.07 坪
主建物坪數：27.12 坪
樓層：2 / 5
樓層比例：0.40
格局：3 房 2 廳 2 衛
車位：無
車位面積：0.00
管理組織：無
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPRNMLMKKHOFFEA67CA,2019-01-06,北投區,套房(1房1廳1衛),"行政區：北投區
建物型態：套房(1房1廳1衛)
主要建材：鋼骨鋼筋混凝土造
屋齡：11.14 年
建物坪數：10.94 坪
主建物坪數：6.21 坪
樓層：5 / 23
樓層比例：0.22
格局：1 房 1 廳 1 衛
車位：無
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPUNMLNKKHOFFBA77CA,2019-01-17,中正區,套房(1房1廳1衛),"行政區：中正區
建物型態：套房(1房1廳1衛)
主要建材：鋼骨混凝土造
屋齡：28.42 年
建物坪數：13.86 坪
主建物坪數：8.81 坪
樓層：18 / 27
樓層比例：0.67
格局：0 房 0 廳 0 衛
車位：無
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPWNMLLMJHOFFAA77CA,2019-01-08,文山區,公寓(5樓含以下無電梯),"行政區：文山區
建物型態：公寓(5樓含以下無電梯)
主要建材：鋼筋混凝土造
屋齡：缺失 年
建物坪數：25.34 坪
主建物坪數：25.34 坪
樓層：4 / 4
樓層比例：1.00
格局：3 房 2 廳 2 衛
車位：無
車位面積：0.00
管理組織：無
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
