current_id,current_trade_date,candidate_rank,candidate_id,candidate_trade_date,similarity
RPVOMLLMJHOFFDA08CA,2018-12-21,2,RPXOMLKLKINFFDA18CA,2018-11-04,0.990608
RPVOMLLMJHOFFDA08CA,2018-12-21,3,RPOUMLNJKINFFDA97CA,2018-10-22,0.9864878
RPROMLSKKHOFFDA28CA,2018-12-21,1,RPSNMLRKJINFFDA18DA,2018-10-02,0.9818694
RPROMLSKKHOFFDA28CA,2018-12-21,2,RPUOMLMLJINFFDA08DA,2018-06-30,0.98165864
RPROMLSKKHOFFDA28CA,2018-12-21,3,RPOOMLOKJINFFDA57DA,2018-08-29,0.9797414
RPOPMLLLKHOFFDA47CA,2018-12-24,1,RPQPMLQKJINFFDA08DA,2018-10-07,0.9866294
RPOPMLLLKHOFFDA47CA,2018-12-24,2,RPUOMLQKJHOFFDA28CA,2018-12-09,0.98609203
RPOPMLLLKHOFFDA47CA,2018-12-24,3,RPWPMLSLKINFFDA98CA,2018-11-25,0.9857117
RPQPMLMKLHOFFDA77CA,2018-12-28,1,RPSOMLRKKINFFDA28CA,2018-09-08,0.9784261
RPQPMLMKLHOFFDA77CA,2018-12-28,2,RPUQMLOLKINFFDA58DA,2018-09-19,0.9666123
RPQPMLMKLHOFFDA77CA,2018-12-28,3,RPXNMLPLKINFFDA58CA,2018-11-27,0.96515197
RPROMLSJJHOFFDA08CA,2019-01-04,1,RPXOMLMKJINFFDA18CA,2018-10-01,0.9811444
RPROMLSJJHOFFDA08CA,2019-01-04,2,RPSOMLRKKINFFDA28CA,2018-09-08,0.97894883
RPROMLSJJHOFFDA08CA,2019-01-04,3,RPWOMLOJJHOFFDA18CA,2018-09-23,0.9779258
RPOPMLPKLHOFFDA87CA,2019-01-06,1,RPUOMLQKJHOFFDA28CA,2018-12-09,0.9917102
RPOPMLPKLHOFFDA87CA,2019-01-06,2,RPQPMLQKJINFFDA08DA,2018-10-07,0.986655
RPOPMLPKLHOFFDA87CA,2019-01-06,3,RPOPMLLLKHOFFDA47CA,2018-12-24,0.9824222
RPUNMLTJLHOFFDA68DA,2019-01-13,1,RPPOMLOKJINFFDA67DA,2018-08-29,0.99035513
RPUNMLTJLHOFFDA68DA,2019-01-13,2,RPOUMLNJKINFFDA97CA,2018-10-22,0.9899735
RPUNMLTJLHOFFDA68DA,2019-01-13,3,RPUQMLOLKINFFDA58DA,2018-09-19,0.9887453
RPRPMLOJLHOFFDA08DA,2019-01-18,1,RPSNMLRKJINFFDA18DA,2018-10-02,0.9932742
RPRPMLOJLHOFFDA08DA,2019-01-18,2,RPUOMLMLJINFFDA08DA,2018-06-30,0.99211663
RPRPMLOJLHOFFDA08DA,2019-01-18,3,RPRQMLQKJHOFFDA28DA,2018-11-21,0.99149805
RPSOMLLLLHOFFDA87CA,2019-01-20,1,RPXOMLPJKINFFDA48CA,2018-10-26,0.98987454
RPSOMLLLLHOFFDA87CA,2019-01-20,2,RPQNMLRKKINFFDA97CA,2018-11-18,0.9877777
RPSOMLLLLHOFFDA87CA,2019-01-20,3,RPXOMLNLJINFFDA38CA,2018-10-15,0.98539126
RPSNMLOKLHOFFDA97CA,2019-01-30,1,RPPOMLOKJINFFDA67DA,2018-08-29,0.9898578
RPSNMLOKLHOFFDA97CA,2019-01-30,2,RPOUMLNJKINFFDA97CA,2018-10-22,0.9885827
RPSNMLOKLHOFFDA97CA,2019-01-30,3,RPXOMLKLKINFFDA18CA,2018-11-04,0.9854367
RPSOMLKKMHOFFDA87DA,2019-02-12,1,RPPNMLPJKINFFDA57CA,2018-10-16,0.9787776
RPSOMLKKMHOFFDA87DA,2019-02-12,2,RPSNMLKLJINFFDA47CA,2018-11-02,0.9745805
RPSOMLKKMHOFFDA87DA,2019-02-12,3,RPOOMLOKJINFFDA57DA,2018-08-29,0.9712158
RPTOMLSJMHOFFDA58CA,2019-02-16,1,RPVOMLLMJHOFFDA08CA,2018-12-21,0.98799706
RPTOMLSJMHOFFDA58CA,2019-02-16,2,RPOUMLNJKINFFDA97CA,2018-10-22,0.985728
RPTOMLSJMHOFFDA58CA,2019-02-16,3,RPUQMLOLKINFFDA58DA,2018-09-19,0.98523194
RPPNMLRLLHOFFDA08CA,2019-02-17,1,RPXOMLKLKINFFDA18CA,2018-11-04,0.97837555
RPPNMLRLLHOFFDA08CA,2019-02-17,2,RPPOMLOKJINFFDA67DA,2018-08-29,0.9742134
RPPNMLRLLHOFFDA08CA,2019-02-17,3,RPQPMLMKLHOFFDA77CA,2018-12-28,0.97416574
RPSNMLTKLHOFFDA48CA,2019-02-25,1,RPWPMLSLKINFFDA98CA,2018-11-25,0.977141
RPSNMLTKLHOFFDA48CA,2019-02-25,2,RPSOMLLLLHOFFDA87CA,2019-01-20,0.9758743
RPSNMLTKLHOFFDA48CA,2019-02-25,3,RPXOMLMKJINFFDA18CA,2018-10-01,0.97422945
RPVOMLNKNHOFFDA48CA,2019-02-25,1,RPSNMLKLJINFFDA47CA,2018-11-02,0.9901514
RPVOMLNKNHOFFDA48CA,2019-02-25,2,RPPNMLPJKINFFDA57CA,2018-10-16,0.9805195
RPVOMLNKNHOFFDA48CA,2019-02-25,3,RPQOMLNKKINFFDA67CA,2018-11-12,0.97952163
RPUNMLMJNHOFFDA08CA,2019-03-01,1,RPOQMLNJJHOFFDA47CA,2018-11-16,0.9884859
RPUNMLMJNHOFFDA08CA,2019-03-01,2,RPROMLSKKHOFFDA28CA,2018-12-21,0.98123425
RPUNMLMJNHOFFDA08CA,2019-03-01,3,RPSPMLLLJHOFFDA77CA,2018-12-18,0.97590923
RPTNMLTJMHOFFDA58CA,2019-03-06,1,RPVNMLPLJHOFFDA28CA,2018-12-15,0.976713
RPTNMLTJMHOFFDA58CA,2019-03-06,2,RPROMLSJJHOFFDA08CA,2019-01-04,0.97455686
RPTNMLTJMHOFFDA58CA,2019-03-06,3,RPSOMLRKKINFFDA28CA,2018-09-08,0.97276986
RPSOMLKMMHOFFDA97CA,2019-03-08,1,RPQNMLSJJHOFFDA87CA,2018-11-06,0.9963826
RPSOMLKMMHOFFDA97CA,2019-03-08,2,RPVNMLMLKINFFDA08CA,2018-11-08,0.99533975
RPSOMLKMMHOFFDA97CA,2019-03-08,3,RPOOMLOKJINFFDA57DA,2018-08-29,0.99263203
RPXNMLLKMHOFFDA28CA,2019-03-11,1,RPUNMLTJLHOFFDA68DA,2019-01-13,0.99272627
RPXNMLLKMHOFFDA28CA,2019-03-11,2,RPWPMLSLKINFFDA98CA,2018-11-25,0.98943317
RPXNMLLKMHOFFDA28CA,2019-03-11,3,RPRNMLMKKINFFDA57CA,2018-09-17,0.98780364
RPQNMLPLMHOFFDA08CA,2019-03-15,1,RPQPMLMKLHOFFDA77CA,2018-12-28,0.9799615
RPQNMLPLMHOFFDA08CA,2019-03-15,2,RPSOMLRKKINFFDA28CA,2018-09-08,0.97551656
RPQNMLPLMHOFFDA08CA,2019-03-15,3,RPXOMLPJKINFFDA48CA,2018-10-26,0.9732617
RPPPMLOLNHOFFDA28DA,2019-03-16,1,RPSOMLKMMHOFFDA97CA,2019-03-08,0.98456573
RPPPMLOLNHOFFDA28DA,2019-03-16,2,RPQNMLSJJHOFFDA87CA,2018-11-06,0.98243165
RPPPMLOLNHOFFDA28DA,2019-03-16,3,RPVNMLMLKINFFDA08CA,2018-11-08,0.98149073
RPQOMLSLQHOFFDA88CA,2019-03-16,1,RPOOMLOKJINFFDA57DA,2018-08-29,0.9889394
RPQOMLSLQHOFFDA88CA,2019-03-16,2,RPSOMLKMMHOFFDA97CA,2019-03-08,0.9883578
RPQOMLSLQHOFFDA88CA,2019-03-16,3,RPVNMLMLKINFFDA08CA,2018-11-08,0.9861981
RPUOMLKMNHOFFDA28CA,2019-03-17,1,RPUQMLOLKINFFDA58DA,2018-09-19,0.9873291
RPUOMLKMNHOFFDA28CA,2019-03-17,2,RPXOMLKLKINFFDA18CA,2018-11-04,0.9862075
RPUOMLKMNHOFFDA28CA,2019-03-17,3,RPVOMLLMJHOFFDA08CA,2018-12-21,0.98420906
RPSNMLQJNHOFFDA28CA,2019-03-17,1,RPRNMLMKKINFFDA57CA,2018-09-17,0.98093903
RPSNMLQJNHOFFDA28CA,2019-03-17,2,RPOPMLLLKHOFFDA47CA,2018-12-24,0.9794136
RPSNMLQJNHOFFDA28CA,2019-03-17,3,RPQPMLPLJHOFFDA97CA,2018-12-03,0.9778498
RPOOMLLJNHOFFDA47CA,2019-03-18,1,RPPNMLRLLHOFFDA08CA,2019-02-17,0.9791233
RPOOMLLJNHOFFDA47CA,2019-03-18,2,RPPOMLOKJINFFDA67DA,2018-08-29,0.978103
RPOOMLLJNHOFFDA47CA,2019-03-18,3,RPQPMLMKLHOFFDA77CA,2018-12-28,0.9746287
RPUPMLTLMHOFFDA09CA,2019-03-19,1,RPTOMLQLKINFFDA38CA,2018-06-03,0.99320114
RPUPMLTLMHOFFDA09CA,2019-03-19,2,RPXOMLKLKINFFDA18CA,2018-11-04,0.9879303
RPUPMLTLMHOFFDA09CA,2019-03-19,3,RPTOMLSJMHOFFDA58CA,2019-02-16,0.98718286
RPWPMLTKMHOFFDA56CA,2019-03-23,1,RPWOMLQKJHOFFDA48CA,2018-11-30,0.9917272
RPWPMLTKMHOFFDA56CA,2019-03-23,2,RPQPMLQKJINFFDA08DA,2018-10-07,0.97638845
RPWPMLTKMHOFFDA56CA,2019-03-23,3,RPSNMLKLJINFFDA47CA,2018-11-02,0.97604835
RPWNMLLJNHOFFDA18CA,2019-03-24,1,RPUNMLTJLHOFFDA68DA,2019-01-13,0.98857397
RPWNMLLJNHOFFDA18CA,2019-03-24,2,RPOUMLNJKINFFDA97CA,2018-10-22,0.9883425
RPWNMLLJNHOFFDA18CA,2019-03-24,3,RPUOMLKMNHOFFDA28CA,2019-03-17,0.9874431
RPXQMLLLOHOFFDA98DA,2019-03-26,1,RPOPMLLLKHOFFDA47CA,2018-12-24,0.9924411
RPXQMLLLOHOFFDA98DA,2019-03-26,2,RPOPMLPKLHOFFDA87CA,2019-01-06,0.98533005
RPXQMLLLOHOFFDA98DA,2019-03-26,3,RPQPMLQKJINFFDA08DA,2018-10-07,0.9852911
RPOPMLMJNHOFFDA77DA,2019-04-03,1,RPVOMLLMJHOFFDA08CA,2018-12-21,0.990768
RPOPMLMJNHOFFDA77DA,2019-04-03,2,RPUPMLTLMHOFFDA09CA,2019-03-19,0.98934716
RPOPMLMJNHOFFDA77DA,2019-04-03,3,RPTOMLSJMHOFFDA58CA,2019-02-16,0.98646486
RPRNMLOLNHOFFDA18CA,2019-04-11,1,RPSNMLKLJINFFDA47CA,2018-11-02,0.9707983
RPRNMLOLNHOFFDA18CA,2019-04-11,2,RPQOMLSLQHOFFDA88CA,2019-03-16,0.96141386
RPRNMLOLNHOFFDA18CA,2019-04-11,3,RPPNMLPJKINFFDA57CA,2018-10-16,0.96140534
RPUOMLLMNHOFFDA48DA,2019-04-14,1,RPPNMLPJKINFFDA57CA,2018-10-16,0.9773795
RPUOMLLMNHOFFDA48DA,2019-04-14,2,RPSNMLKLJINFFDA47CA,2018-11-02,0.97563535
RPUOMLLMNHOFFDA48DA,2019-04-14,3,RPSOMLKKMHOFFDA87DA,2019-02-12,0.9754441
