fold_id,feature,feature_group,gain_importance,split_importance
6,comp_365d_median_price,rule_based_comparable,714686.3433532715,705.0
6,comp_365d_nearest_distance,rule_based_comparable,857681.2430419922,847.0
6,comp_365d_nearest_price,rule_based_comparable,1110029.8374557495,910.0
6,comp_365d_std_price,rule_based_comparable,1193850.673828125,1152.0
6,comp_365d_weighted_mean_price,rule_based_comparable,4366390.954521179,497.0
6,comp_730d_count,rule_based_comparable,0.0,0.0
6,comp_730d_mean_price,rule_based_comparable,7069563.984779358,610.0
6,comp_730d_median_age_diff,rule_based_comparable,1464591.0094680786,1249.0
6,comp_730d_median_area_diff_pct,rule_based_comparable,895820.0262145996,999.0
6,comp_730d_median_days_diff,rule_based_comparable,774646.7371139526,932.0
6,comp_730d_median_distance,rule_based_comparable,716856.1774291992,689.0
6,comp_730d_median_price,rule_based_comparable,1239580.514251709,670.0
6,comp_730d_nearest_distance,rule_based_comparable,870891.0784301758,780.0
6,comp_730d_nearest_price,rule_based_comparable,1909464.0554885864,1076.0
6,comp_730d_std_price,rule_based_comparable,1521702.1647644043,1362.0
6,comp_730d_weighted_mean_price,rule_based_comparable,161822981.60780334,954.0
6,district,location_time,604560.363861084,517.0
6,district_count_180d,time_aware_market,925146.8863143921,921.0
6,district_median_price_180d,time_aware_market,1516584.1584625244,907.0
6,district_median_price_365d,time_aware_market,1258537.0501861572,862.0
6,district_price_change_180_365,time_aware_market,849128.9385223389,976.0
6,district_type_count_180d,time_aware_market,755341.7401733398,809.0
6,district_type_median_price_180d,time_aware_market,800098.9281845093,716.0
6,district_type_median_price_365d,time_aware_market,1049897.5369110107,801.0
6,district_type_price_change_180_365,time_aware_market,911758.5481033325,1047.0
6,emb_1095d_count,embedding_reranker_comparable,0.0,0.0
6,emb_1095d_max_reranker_score,embedding_reranker_comparable,1488212.024230957,997.0
6,emb_1095d_max_similarity,embedding_reranker_comparable,522730.0284423828,602.0
6,emb_1095d_mean_price,embedding_reranker_comparable,519964.05601501465,622.0
6,emb_1095d_mean_reranker_score,embedding_reranker_comparable,784772.784866333,668.0
6,emb_1095d_mean_similarity,embedding_reranker_comparable,485389.0570297241,505.0
6,emb_1095d_median_age_diff,embedding_reranker_comparable,1026453.8888626099,875.0
6,emb_1095d_median_area_diff_pct,embedding_reranker_comparable,823956.3126678467,894.0
6,emb_1095d_median_days_diff,embedding_reranker_comparable,764528.8659973145,828.0
6,emb_1095d_median_price,embedding_reranker_comparable,609590.2365875244,640.0
6,emb_1095d_median_similarity,embedding_reranker_comparable,469116.43408966064,532.0
6,emb_1095d_nearest_price,embedding_reranker_comparable,1412381.8055267334,988.0
6,emb_1095d_std_price,embedding_reranker_comparable,1154745.2508850098,1060.0
6,emb_1095d_weighted_mean_price,embedding_reranker_comparable,40855845.78083038,1115.0
6,emb_730d_count,embedding_reranker_comparable,0.0,0.0
6,emb_730d_max_reranker_score,embedding_reranker_comparable,1072590.1236419678,883.0
6,emb_730d_max_similarity,embedding_reranker_comparable,590756.6094360352,638.0
6,emb_730d_mean_price,embedding_reranker_comparable,569001.3199462891,560.0
6,emb_730d_mean_reranker_score,embedding_reranker_comparable,832493.991317749,649.0
6,emb_730d_mean_similarity,embedding_reranker_comparable,491257.8129577637,487.0
6,emb_730d_median_age_diff,embedding_reranker_comparable,1058250.1139068604,865.0
6,emb_730d_median_area_diff_pct,embedding_reranker_comparable,717114.7634277344,821.0
6,emb_730d_median_days_diff,embedding_reranker_comparable,754299.2771911621,905.0
6,emb_730d_median_price,embedding_reranker_comparable,611932.7881011963,616.0
6,emb_730d_median_similarity,embedding_reranker_comparable,553632.5719451904,542.0
6,emb_730d_nearest_price,embedding_reranker_comparable,1097754.5852279663,838.0
6,emb_730d_std_price,embedding_reranker_comparable,1226669.5385284424,1069.0
6,emb_730d_weighted_mean_price,embedding_reranker_comparable,18527613.36226654,760.0
6,floor,basic_housing,3494737.6214904785,956.0
6,floor_ratio,basic_housing,965991.436050415,862.0
6,has_elevator,basic_housing,79846.67295837402,49.0
6,has_management,basic_housing,215008.35984802246,139.0
6,has_parking,basic_housing,877626.9763336182,206.0
6,is_basement,basic_housing,0.0,0.0
6,land_area_m2,basic_housing,2447537.008163452,1820.0
6,living_rooms,basic_housing,409399.3252105713,254.0
6,main_building_area_m2,basic_housing,1734216.4525604248,1505.0
6,main_building_area_ping,basic_housing,301101.7472076416,244.0
6,main_use_missing,note_or_quality_flags,0.0,0.0
6,material,location_time,747147.6742782593,302.0
6,multi_floor,basic_housing,104633.39282226562,80.0
6,parking_area_m2,basic_housing,1697901.4953689575,903.0
6,physical_condition_flag,note_or_quality_flags,212269.6570739746,153.0
6,renovation_flag,note_or_quality_flags,44277.16359710693,49.0
6,rooms,basic_housing,1007031.779373169,491.0
6,total_floor,basic_housing,1330346.930343628,984.0
6,trade_month,location_time,268385.8172454834,314.0
6,trade_quarter,location_time,115202.72413635254,135.0
6,trade_year,location_time,219836.34326934814,179.0
6,trade_yq,location_time,210934.70077514648,216.0
7,auxiliary_area_m2,basic_housing,1627707.5329742432,1194.0
7,balcony_area_m2,basic_housing,1283729.85055542,1242.0
7,bathrooms,basic_housing,345305.2655181885,268.0
7,broad_note_flag,note_or_quality_flags,62375.599685668945,71.0
7,building_age,basic_housing,4208956.899711609,2525.0
7,building_age_missing,basic_housing,125002.20629882812,55.0
7,building_area_m2,basic_housing,1719334.5445251465,1397.0
7,building_area_ping,basic_housing,456859.24114227295,335.0
7,building_type,location_time,123761.86940002441,107.0
7,comp_365d_count,rule_based_comparable,0.0,0.0
7,comp_365d_mean_price,rule_based_comparable,549572.1615142822,515.0
7,comp_365d_median_age_diff,rule_based_comparable,1152777.3558654785,988.0
7,comp_365d_median_area_diff_pct,rule_based_comparable,729653.8686523438,816.0
7,comp_365d_median_days_diff,rule_based_comparable,864519.5419006348,971.0
